name,lat,lon,country
LUCINDA,-18.52,146.33,Australia
LULEA,65.58,22.17,Sweden
LUMUT,4.72,114.45,Brunei
SHANGHAI,31.22,121.5,China
LUWUK,-0.95,122.8,Indonesia
LYNESS,58.83,-3.2,United Kingdom
LYSEKIL,58.27,11.43,Sweden
MAASSLUIS,51.92,4.25,Netherlands
MADANG,-5.22,145.82,Papua New Guinea
MADRE DE DEUS,-12.75,-38.62,Brazil
MAHAJANGA,-15.72,46.3,Madagascar
MAHON,39.88,4.27,Spain
MAILIAO,23.78,120.17,Taiwan
MALAGA,36.72,-4.42,Spain
MALE,4.17,73.5,Maldives
MALMO,55.62,13.0,Sweden
MAMONAL,10.32,-75.52,Colombia
MANAUS,-3.13,-60.02,Brazil
MANCHESTER,53.48,-2.27,United Kingdom
MANFREDONIA,41.62,15.92,Italy
MANGALIA,43.82,28.58,Romania
MANILA,14.58,120.97,Philippines
MANTA,-0.95,-80.72,Ecuador
MANTYLUOTO,61.6,21.48,Finland
MANZANILLO,20.35,-77.12,Cuba
MANZANILLO,19.05,-104.32,Mexico
MAP TA PHUT,12.67,101.17,Thailand
MAPUTO,-25.97,32.58,Mozambique
MAR DEL PLATA,-38.03,-57.53,Argentina
MARCUS HOOK,39.82,-75.42,United States
MARIEHAMN,60.1,19.92,Finland
MARIEL,22.98,-82.75,Cuba
MARIN,42.4,-8.7,Spain
MARINA DI CARRARA,44.03,10.03,Italy
MARIVELES,14.43,120.48,Philippines
MARQUETTE,46.53,-87.38,United States
MARSAXLOKK,35.82,14.55,Malta
MASAO,9.0,125.42,Philippines
MATADI,-5.82,13.45,Democratic Republic of the Congo
MATANZAS,23.05,-81.55,Cuba
MATSU-SHIMA,32.93,129.6,Japan
MATSUYAMA,33.85,132.7,Japan
MAYAGUEZ,18.2,-67.15,Puerto Rico
MAZATLAN,23.2,-106.42,Mexico
MOBILE,30.68,-88.12,United States
THUNDER BAY,48.4,-89.23,Canada
MEGA,34.78,134.7,Japan
